Reliure	Langue	Support	Bibliographie	Décor	Dimensions	Provenance moderne	DEBUG	Histoire BNF	Reproduction	Contenu	Description physique	Nombre de feuillets	Nom BNF	Siècle	Cote actuelle	Ancienne cote Navarre	Ancienne cote Regius	Ancienne cote	Ancienne cote Supplément	Ancienne cote Feuillants
	Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin		1997 cité p. 206 Irene SCARAVELLI, "Supplemento d'Indagine sul  Liber gestorum recentium  di Arnolfo di Milano",  Filologia Mediolatina , 4 (1997), p. 191-250 Tolbiac [ 8-Z-64810 %%  %%  %%  %%  %% F. 25r-26v 1996 cité à titre de copie (Paris AN ms. J184 n° 1 ou AN Musée AEII.1664. et Angers AD Maine-et-Loire 201H1 n° 3) 76 (notice n° 65) LIST AND INDEX SOCIETY,  Acta of Henry II and Richard I (part two) ed. by Nicholas VINCENT , Special series (vol. 27), Richmond, The List and Index Society, Public Record Office, 1996 Mss. [ 4° Impr. 2204							Papiers de l'abbé J. Boileau classés comme il suit : %% Correspondance. Notes et mémoires. %% Religieuses de la congrégation de Notre-Dame au diocèse de Sens %% Bévues des savants %% Mélanges théologiques. %% De episcoporum causis. %% De sigillo confessionis auricularis. %% S. Augustinus vindicatus. %% Traité de Ratramne sur l'Eucharistie. %% De residentia canonicorum. — De tactibus impudicis. %% Histoire des flagellants. %% De re vestiaria hominis sacri. %% De approbationibus librorum. %% De re beneficiaria. %% De denegata eucharistia reis hominibus. %% Dépositions des évêques. %% Historia schismatis Donatistarum. %% De actionum delicti privilegiati et communis origine. %% Pièces pour l'histoire du diocèse de Sens au XVII s. %% Copie d'une lettre d'Ant. Arnaud du 21 août 1668 %% Affaires d'Allemagne. — Pouillé du diocèse de Sens %% Catalogue des doyens de Sens %% Extrait des lettres de M. Lagault à M. Grandin en 1652 et 1653 %% Réflexions du docteur Le Vray sur une lettre attribuée au ministre Claude, et adressée de Hollande aux protestants nouvellement convertis %% Leçons du nouveau bréviaire de Sens			FRBNFEAD000070359		NAL 2098-2118 %% NAL 2098 %% F. 114 %% F. 247 %% NAL 2099 %% NAL 2100 %% NAL 2101-2102 %% NAL 2103 %% NAL 2104-2105 %% NAL 2106 %% NAL 2107-2109 %% NAL 2110 %% NAL 2111 %% NAL 2112-2113 %% NAL 2114 %% NAL 2115 %% NAL 2116 %% NAL 2117 %% NAL 2118 %% F. 6 %% F. 83 %% F. 134 %% F. 164 %% F. 180 %% F. 200					
Demi-reliure.	Manuscrit en  latin	Parchemin.			360 × 255 mm. et dimensions diverses		[acqinfo] Don de M. le chanoine Porée.			Fragmenta Missalis ad usum Ebroicensem et aliorum aliquot liturgicorum codicum.		37 et 21 feuillets.	FRBNFEAD000070666	XIIe-XVe siècle	NAL 2463					
Reliure XVIIIe s. en cuir moucheté, avec des fers dorés sur le dos et des tranches mouchetées de rouge.		Parch.	A. Bondéelle-Souchier, Bibliothèques cisterciennes dans la France médiévale. Répertoire des abbayes d'hommes, Paris, 1991, p. 249-256.	France. Petites initiales de couleur (rouge, bleu, vert, jaune).	430 x 290 mm	Congrégation des Feuillants de la rue Saint-Honoré (Paris) . "Ex bibliotheca Fuliensium S. Bernardi Parisiensis" (XVIIe s., f. 1).  Le ms. a dû être utilisé par un nommé "Henry" qui a inscrit son nom en deux endroits sur le f. 1 (XVIe-XVIIe s.).		Estampille Bibliothèque nationale (Révolution), 1792-1802, modèle identique à Josserand-Bruno, 277.	Microfilm en noir et blanc. Cote de consultation en salle de lecture : MF 27099. Cote de la matrice (pour commander une reproduction) :  R 5526 %% Numérisation effectuée à partir d'un document de substitution	Biblia sacra , tomus II.		236 ff.	FRBNFEAD000003938	XIIe s. (1ère moitié)	Latin 16742					Feuillants 59. 2
Demi-reliure maroquin rouge au chiffre RF signée « Ottmann-Duplanil  1851 ».		Parch.		France (Paris). Initiales filigranées bleues et rouges, les plus grandes puzzle.	330 x 220 mm	Collège de Navarre . Ex-libris « Pro libraria regalis collegii Campaniae alias Navarrae» (XVIe s., f. 1).		Estampilles Bibliothèque nationale (Révolution), 1792-1802, modèle identique à Josserand-Bruno, 277 et pl. type 17 et Bibliothèque impériale (Second Empire), 1852-1870, modèle avec la mention « MSS. » proche de Josserand-Bruno, 289 et pl. type 36.		S. Augustinus ,  De regula vere fidei   (1-12),  De fide et operibus   (12-24),  De predestinatione divina  (24-29v),  De presentia Dei   (29v-35v),  De natura et gratia   (35v-50v),  Annotationes in Job    (51-74v),  De mendacio    (75-86),  Contra Pelagianos et Celestianos hereticos   (86-102),  De Magistro   (102-112),  De musica   (112-124v),  De beata vita   (125-132),  De moribus catholice eccelesie   (132v-147v).		147 ff.	FRBNFEAD000004252	XIIIe s. (2nd quart)	Latin 17398	Navarre 98				
Reliure de la bibliothèque impériale sous le règne de Napoléon Ier. Un fragment de manuscrit religieux du XIIe siècle 	 avec notations neumatiques est utilisé comme garde	Documents en  Français	Parchemin	Editions  Dominique Martin Méon, Le Roman de la Rose par Guillaume de Lorris et Jehan de Meung : nouvelle édition, revue et corrigée sur les meilleurs et les plus anciens manuscrits , Paris : impr. de P. Didot l'aîné, 1814 Armand Strubel,   Le roman de la rose, Guillaume de Lorris et Jean de Meun ; édition d'après les manuscrits BN 12786 et BN 378 , Paris : Librairie générale française, 1992 %% Bibliographie  Pierre Josserand et Jean Bruno, "Les Estampilles du département des imprimés de la Bibliothèque nationale", dans Mélanges d’histoire du livre et des bibliothèques offerts à Monsieur Franz Calot , Paris, 1960, 261-298 et pl. XXIII-XXIV. Ernest Langlois,  Les manuscrits du Roman de la Rose : description et classement  , Lille : Tallandier ; Paris : H. Champion, 1910, p. 8-9 (transcription du poème sur le feuillet de garde) Paulin Paris,  Les manuscrits françois de la Bibliothèque du roi, leur histoire et celle des textes allemands, anglois, hollandois, italiens, espagnols de la même collection , Paris : Techener, 1836-1848,  VI, pp. 232-234 Notice sur le site	31 miniatures de la largeur d'une colonne (dessins à l'encre rehaussés de  couleurs) , aux  feuillets 1, 1v, 2 (2 miniatures), 2v  (2 miniatures), 3, 3 (2 miniatures), 4v, 5, 7, 8, 8v  (3 miniatures), 9, 11v  (2 miniatures), 12, 13, 17  (2 miniatures), 17v, 18, 19  (2 miniatures), 22v  (2 miniatures), 23, 23v. Facture provinciale. Les instructions du scribe à l'enlumineur sont inscrites aux côtés de certaines miniatures. Les noms des personnages représentés sont inscrits en rouge dans les miniatures.  Initiales bleues et rouges. Initiales à l'encre noire. Initiale de chaque vers rehaussée de jaune. Rubriques	350 x 245 mm (just. 250 x180 mm)	Au bas des feuillets 1,21,65, un écu d'or , à la bande de sable, chargé de trois  quintefeuilles d'argent, armoiries de la famille Martel en Dauphiné (d'après Paris). Le manuscrit est répertorié dans les collections royales : inventaire de la bibliothèque de Fontainebleau ; inventaire de Nicolas Rigault (1622); inventaire de Pierre et Jacques Dupuy (1645); inventaire de Nicolas Clément (cote Regius 1682).		Estampille "Bibliothecae Regiae" correspondant au n. 1 (type A) de Josserand-Bruno	Manuscrit intégralement numérisé d'après l'original.	Guillaume de Lorris (1200?-1260?) Jean de Meung (124.?-1304?) [Le roman de la rose] %% Au verso d'un feuillet de garde, dialogue en quatre huitains entre Macquet et le dormant:  « Povre dormant que fas tu la/ T'as beau dormir, se je t'esveille ... - ... Or liz d'affection entiere /Tout le fin long de ses feuilles». ff.1-128v.  Guillaume de Lorris (1200?-1260?) et  Jean de Meung (124.?-1304?) ,  Le Roman de la Rose : « Maintes gens dient que en songes / N'a se fables non et mensonges ... - ...  Ainsi oi la rose vermeille / Atant fu jour et je m'esveille ».	.......... %% Ecriture bâtarde, une seule maine, encre foncée. Les rubriques et certains passages sont plus cursifs. 2 colonnes de 40-50 vers %% Foliotation moderne à l'encre. 16 cahiers de 8 feuillets (1-128). Réclames. Certains  feuillets de garde sont des remplois. Présence d'un talon entre le dernier feuillet de texte et la première garde %% Réglure à la mine de plomb	3 feuillets de papier + 2  feuillets de parchemin +128 feuillets +  2  feuillets de parchemin  + 2 feuillets de papier	FRBNFEAD000008942	XVe siècle	Français 801		Regius 7196	533 (Dupuy II, 1645) %% 630 (Rigault II, 1622) %% 630 (Bibliothèque de Fontainebleau, XVIe siècle) %% 191-Rommant de la Rose (François Ier, XVIe siècle)		
	Texte  latin  avec traduction et commentaires en  flamand		1993 Eberhard KÖNIG et Heribert TENSCHERT,  Leuchtendes Mittelalter , VI, 1993-1994. 2009 Ilona HANS-COLLAS et Pascal SCHANDEL,  Manuscrits enluminés des anciens Pays-Bas méridionaux. I. Manuscrits de Louis de Bruges , Paris : Bibliothèque nationale de France, 2009, p. 250-255. 2012 Konstantinos Sp. STAIKOS,  The History of the Library in Western Civilization , Kotinos : Oak Knoll Press, 2012, cité p. 222 n. 101						Numérisation effectuée à partir d'un document original	Boethius, Anicius Manlius Severinus (0480?-0524) ,  Boèce (0480?-0524) [Consolatio philosophiae] .			FRBNFEAD000089761	XV e siècle	Néerlandais 1					
	Manuscrit en latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin %% Manuscrit en  latin	Volume en papier.	F. 74v-75 1995 utilisé comme source pp. 123, 125 [Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia », L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II. , Paris, 1964, p. 111-128] Marie-Thérèse d'ALVERNY, Pensée médiévale en Occident. Théologie, magie et autres textes des XII e -XIII e siècles , Aldershot, Variorum, 1995 Mss. [ 8° Impr. 87401970 cité parmi les sources p. 218 Wilhelm MEYERS, Carmina Burana, t. 1, Heidelberg, C. Winter Universitätsverlag, 1970 Mss. [ 8° Impr. 6974 %% 2010 Marie-Hélène JULLIEN (éd.), Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987 , III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. %% Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. %% Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. %% Publiée par M. Hauréau, ibid., p. 284. %% Publiée en partie par M. Hauréau, ibid., p. 286. %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. %% Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. %% Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. %% Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. %% Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.		292 × 210 mm.				Microfilm en noir et blanc. Cote de consultation en salle de lecture : MF 13933. Cote de la matrice (pour commander une reproduction) : R 16248	Mélanges en vers et en prose. Recueil formé au XV e siècle dont, les pièces en vers ont été analysées par M. Hauréau dans Notices et extraits des mss., t. XXXII, part. I, p. 253-314. %% Suivent les titres ou les premiers mots de chaque morceau (Le reste du manuscrit a été détruit) : %% " Exceptiones sumpte de libris Salomonis, secundum ordinem librorum ipsius. " %% " Liber de formula vite honeste, [par Martin, évêque de Braga]. Quatuor virtutum species multorum sapiencium sentenciis diffinite sunt... " %% " Proverbia Senece. Ab alio expectes alteri quod feceris... " %% " Male de te opinantur homines quia mali mal. displicere... " %% " Augustinus de quatuor virtutibus. Hominis summum bonum Deus est, cui habere beatissimum est... " %% " Incipiunt notabilia decretalium.  Firmiter , etc. Nota simpliciter debere confiteri. Nota quod diaboli creati sunt boni, sed per liberum arbitrium facti sunt mali... " %% " Proverbia dictaminum. Cum excedit quispiam in annis teneris abnegari, sibi non debet venia, sed tenetur a prudentibus dulciter relevari... " %% " ... Qui peccatum defendit alterius, in hoc ipso reum se asserit aut suspectum. Expliciunt proverbia dictaminum. " %% " Notabilia epistolarum sancti Bernardi. Prime epistole. Dolor nimius non deliberat, non verecundatur, non consulit rationem... " %% Extraits des Pères de l'Église et des philosophes de l'antiquité. %% " Hec sunt bona que facit confessio. Te pudor emendat... " 3 vers. %% " Fabula dicit omnes bestias fetus suos Jovi presentasse probandos, inter quos simia deformem natum... " %% " Ignis quatuor habet virtutes sive naturas... " %% " Ista sunt peccata que retinent episcopi. Peccata contra naturam, incestus... " %% " Desertum est cor malum, quia cultum non est... " %% Pièce de cinq strophes, publiée par M. Hauréau, Notices et extraits des manuscrits, t. XXXII, part. I, p. 254. Premiers mots : " Quid in hac miseria... " %% " Comparatio Philomene ad animam bene Deum diligentem. Philomena previa... " Pièce souvent attribuée à saint Bonaventure. %% " Excitacio ad psallendum in choro. Dum in nocte video... " Pièce qu'on a faussement attribuée à saint Bernard et qui est intitulée : " Torneamentum beati Bernardi " dans d'autres manuscrits. %% " Salutatio beate Marie. Ave, Dei genitrix et immaculata... " %% " Pièce de sept strophes, qui paraît être d'Alain de Lille. " Exceptivam actionem... " %% Note sur les trois Maries. %% " Salutationes beate Virginis. Vale, sole clarior atque luna pulcrior... " %% " Incipit Phillidis et Flore amoris altercatio ". %% " De peccatore et beata Maria. Sol intraverat virginem... " %% " De scismate duorum paparum. " %% " Incipiunt quinque gaudia beate Marie. Gaude, virge mater Christi... " %% " Salutatio angeli ad Mariam. Ave, plena gratia, virgo, vas honoris... " %% " Contra curiam Romanam. Frigescente caritatis in terris igniculo... " %% " Ad idem. Ecce sonat in apperto... " Pièce de 50 vers plusieurs fois publiée. %% " Ad papam, causa aliquid obtinendi. Tanto viro locuturi... " %% " Contra Grandismontis conversos. Respiciat Emanuel... " %% v°. " Incipit causa pauperis scolaris et divitis. In sublimi solio Salomon sedebat... " %% " Causa Acis et Poliphemi pro Galatea habenda. Puer ferens pharetras, judex, juris scutum... " %% " Incipit causa viri ementulati et ejus uxoris petentis fieri divortium. Ave, pater gencium... " Il semble que cette pièce soit du temps du pape Innocent IV. Le poète a mis ces deux vers dans la bouche de la plaignante : Ha crucior modicum ; michi te prestes amicum, // Tu qui scismaticum condempnasti Federicum. %% " Causa pauperis scolaris cum presbitero. Hora nena sabbati... " %% " Dictum Goliardi. Ecce homo sine domo... " %% " Item. " Pièce de 32 vers, moitié en français et moitié en latin. %% " Gausa divitis et Lazari. Audi, sancte senior... " %% " Proverbia moralia. Rusticitas hodie... " Déclamations poétiques, sur lesquelles il faut lire les observations de M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 304. %% Pièce satyrique, de 30 vers. " Luxus opum semper varios... " %% Satyre contre les églises de la province de Reims. " Cum ex rapto vivere... " %% " Hee sunt septem curialitates. In privato sobrietas... " %% " Hee sunt septem rusticitates. Loquacitas in convivio... " %% " Sentencie procerum Romanorum. Crassus : Parentes vereri Deam timereque debemus, sepius auribus uti quam lingua. Catullus : Debemus neminem nimium judicare... " %% Exhortation morale, en 65 vers. " Quasi leo rugiens... " %% Poésie pieuse, en 42 vers. " Quid ultra tibi facere... " %% " Cordis et oculi altercatio, [par le chancelier Philippe de Grève]. Si quis cordis et oculi... " %% " Oratio. " 14 vers. Christe, fave votis, quem sensibus invoco totis. %% Des qualités chrétiennes du jugement. " Si juste judicas, justum judicem honoras... " %% " Augustinus, de civitate Dei, libro XV, cap. VI. Spiritus sanctus operatur intrinsecus ut valeat aliquid... " %% " Versus proverbiales et alii collecti ex pluribus. " Environ 460 vers. Letificat multum grandis promissio stultum. Heret ocellus ibi res ubi cara tibi. Plus valet " hoc tribuo " quam tribuenda duo. Sepe nocet qui plura docet, quia vix retinentur ; Excoquitur quicquid capitur cum pauca docentur. %% " Diffiniciones diversorum. Proverbium est generalis sententia cui consuetudo fidem attribuit... " %% " Virtutes anime. Caritas est mentis affectus ad Deum et proximum ferventer et ordinate porrectus... " %% " Incipiunt flores auctorum. " 149 vers. Res est solliciti plena timoris amor. Fallar et hic crimen tenues vanescat in auras. Non venit ante suam nostra querela diem. %% " Proverbia Ovidii de Ponto. " Sepe levant penas ereptaque lumina reddunt. %% " Proverbia Ovidii de Tristibus. " Ne quod non opus est forte loquare cave. %% " Incipiunt proverbia Ovidii Magni. " Nulli sua fortuna manebat. Sanctius hiis animal mentisque capacius alte. %% " Incipiunt proverbia secundi libri. " %% " Incipiunt tercii libri proverbia. " %% Ces extraits s'arrêtent au bas de ce fol., au vers : Inscribit facies ; Jovis est regalis ymago.	Écriture du XV e siècle.	129 feuillets.	FRBNFEAD000069865		NAL 1544 %% F. 1 %% F. 14 %% F. 18 v° %% F. 23 v° %% F. 24 %% F. 27 %% F. 54 v° %% F. 56 %% F. 56 v° %% F. 60 %% F. 68 %% F. 68 %% F. 68 %% F. 68 %% F. 68 %% F. 68 v° %% F. 69 %% F. 72 v° %% F. 73 v° %% F. 74 v° %% F. 75 %% F. 75 %% F. 75 v° %% F. 80 %% F. 84 %% F. 85 %% F. 85 v° %% F. 86 v° %% F. 87 %% F. 87 v° %% F. 89 %% F. 89 %% F. 91 %% F. 92 v° %% F. 94 %% F. 97 v° %% F. 97 v° %% F. 98 %% F. 100 %% F. 102 %% F. 102 v° %% F. 103 v° %% F. 103 v° %% F. 103 v° %% F. 103 v° %% F. 104 v° %% F. 105 v° %% F. 106 %% F. 106 %% F. 106 v° %% F. 107 %% F. 114 %% F. 114 %% F. 115 %% F. 117 v° %% F. 120 v° %% F. 124 v° %% F. 126 %% F. 127 v° %% F. 129 v°					
	Manuscrit en  allemand	Papier.			320 × 210 mm.					Recueil de copies de lettres et de notes journalières relatives à la campagne de Hongrie en 1687. %% Incipit : "Allerdurchleuchtigster. Die albereits zu mehr und mehr avancierende Zeith erfordert..." %% documents divers sur le plan de campagne. %% notes journalières sur les opérations et copies de lettres. %% plans de la campagne à venir (datés de décembre 1687). %% Explicit : "die anstalten.... machen lassen kunte."		248 feuillets.	FRBNFEAD000025595	XVIIe siècle	Allemand 100 %% Fol. 2 v° %% Fol. 1-22 %% Fol. 23-162 %% Fol. 163-248 %% Fol. 248 v°				Supplément français 3264.	
	Manuscrit en  allemand	Papier.			320 × 210 mm.					Recueil de copies de lettres et de notes journalières relatives à la campagne de Hongrie en 1687. %% Incipit : "Allerdurchleuchtigster. Die albereits zu mehr und mehr avancierende Zeith erfordert..." %% documents divers sur le plan de campagne. %% notes journalières sur les opérations et copies de lettres. %% test 1 %% plans de la campagne à venir (datés de décembre 1687). %% Explicit : "die anstalten.... machen lassen kunte."		248 feuillets.	FRBNFEAD000025595	XVIIe siècle	Allemand 100 %% Fol. 2 v° %% Fol. 1-22 %% Fol. 23-162 %% test1 %% Fol. 163-248 %% Fol. 248 v°				Supplément français 3264.	
	Manuscrit en  allemand	Papier.			320 × 210 mm.					test 2 : date %% Inside %% Inside the inside but without a date			FRBNFEAD000025595	Hier	test2 %% level3 %% inside inside but no date				Supplément français 3264.	
