Reproduction	Support	Langue	Contenu	Bibliographie	Description physique	Nombre de feuillets	Nom BNF	Dimensions	Cote actuelle
	Volume en papier.	Manuscrit enlatin	Mélanges en vers et en prose. Recueil formé au XVesiècle dont, les pièces en vers ont été analysées par M. Hauréau dans Notices et extraits des mss., t. XXXII, part. I, p. 253-314. / Suivent les titres ou les premiers mots de chaque morceau (Le reste du manuscrit a été détruit) :	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.	Écriture du XVesiècle.	129 feuillets.	FRBNFEAD000069865	292 × 210 mm.	NAL 1544
	Volume en papier.	Manuscrit en latin	" Exceptiones sumpte de libris Salomonis, secundum ordinem librorum ipsius. "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 1
	Volume en papier.	Manuscrit en latin	" Liber de formula vite honeste, [par Martin, évêque de Braga]. Quatuor virtutum species multorum sapiencium sentenciis diffinite sunt... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 14
	Volume en papier.	Manuscrit en latin	" Proverbia Senece. Ab alio expectes alteri quod feceris... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 18 v°
	Volume en papier.	Manuscrit en latin	" Male de te opinantur homines quia mali mal. displicere... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 23 v°
	Volume en papier.	Manuscrit en latin	" Augustinus de quatuor virtutibus. Hominis summum bonum Deus est, cui habere beatissimum est... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 24
	Volume en papier.	Manuscrit en latin	" Incipiunt notabilia decretalium. Firmiter, etc. Nota simpliciter debere confiteri. Nota quod diaboli creati sunt boni, sed per liberum arbitrium facti sunt mali... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 27
	Volume en papier.	Manuscrit en latin	" Proverbia dictaminum. Cum excedit quispiam in annis teneris abnegari, sibi non debet venia, sed tenetur a prudentibus dulciter relevari... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 54 v°
	Volume en papier.	Manuscrit en latin	" ... Qui peccatum defendit alterius, in hoc ipso reum se asserit aut suspectum. Expliciunt proverbia dictaminum. "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 56
	Volume en papier.	Manuscrit en latin	" Notabilia epistolarum sancti Bernardi. Prime epistole. Dolor nimius non deliberat, non verecundatur, non consulit rationem... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 56 v°
